,Block,Blocktrial,Horizon,Item,Sample,TreeA,TreeB,TreeC,TreeD,Size,RT,PressedKey,UnusedTree,TreeColGroup,TreeLeft,TreeMiddle,TreeRight,BlockDuration,InfoRequestNo
0,1.0,1.0,6.0,85.0,1.0,1.0,,,,9.0,,,4.0,7.0,2.0,1.0,3.0,1014.0,0.0
1,1.0,1.0,6.0,85.0,2.0,1.0,,,,7.0,,,4.0,7.0,2.0,1.0,3.0,1014.0,0.0
2,1.0,1.0,6.0,85.0,3.0,1.0,,,,8.0,,,4.0,7.0,2.0,1.0,3.0,1014.0,0.0
3,1.0,1.0,6.0,85.0,4.0,,1.0,,,4.0,,,4.0,7.0,2.0,1.0,3.0,1014.0,0.0
4,1.0,1.0,6.0,85.0,5.0,1.0,,,,7.0,5529.0,2.0,4.0,7.0,2.0,1.0,3.0,1014.0,0.0
5,1.0,2.0,6.0,5.0,1.0,,1.0,,,9.0,,,1.0,3.0,3.0,4.0,2.0,1014.0,0.0
6,1.0,2.0,6.0,5.0,2.0,,,,1.0,4.0,,,1.0,3.0,3.0,4.0,2.0,1014.0,0.0
7,1.0,2.0,6.0,5.0,3.0,,1.0,,,8.0,4246.0,3.0,1.0,3.0,3.0,4.0,2.0,1014.0,0.0
8,1.0,3.0,11.0,39.0,1.0,1.0,,,,5.0,,,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
9,1.0,3.0,11.0,39.0,2.0,,,,1.0,2.0,,,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
10,1.0,3.0,11.0,39.0,3.0,1.0,,,,5.0,,,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
11,1.0,3.0,11.0,39.0,4.0,,1.0,,,3.0,,,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
12,1.0,3.0,11.0,39.0,5.0,1.0,,,,4.0,,,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
13,1.0,3.0,11.0,39.0,6.0,1.0,,,,5.0,5595.0,3.0,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
14,1.0,3.0,11.0,39.0,7.0,1.0,,,,5.0,2480.0,3.0,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
15,1.0,3.0,11.0,39.0,8.0,1.0,,,,4.0,1904.0,3.0,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
16,1.0,3.0,11.0,39.0,9.0,1.0,,,,5.0,1408.0,3.0,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
17,1.0,3.0,11.0,39.0,10.0,1.0,,,,3.0,944.0,3.0,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
18,1.0,3.0,11.0,39.0,11.0,1.0,,,,4.0,3056.0,3.0,3.0,6.0,4.0,2.0,1.0,1014.0,0.0
19,1.0,4.0,6.0,48.0,1.0,,1.0,,,3.0,,,1.0,4.0,3.0,4.0,2.0,1014.0,0.0
20,1.0,4.0,6.0,48.0,2.0,,,,1.0,2.0,,,1.0,4.0,3.0,4.0,2.0,1014.0,0.0
21,1.0,4.0,6.0,48.0,3.0,,,1.0,,4.0,6075.0,1.0,1.0,4.0,3.0,4.0,2.0,1014.0,0.0
22,1.0,5.0,6.0,34.0,1.0,1.0,,,,4.0,,,3.0,3.0,1.0,2.0,4.0,1014.0,0.0
23,1.0,5.0,6.0,34.0,2.0,,,,1.0,2.0,,,3.0,3.0,1.0,2.0,4.0,1014.0,0.0
24,1.0,5.0,6.0,34.0,3.0,,1.0,,,3.0,,,3.0,3.0,1.0,2.0,4.0,1014.0,0.0
25,1.0,5.0,6.0,34.0,4.0,1.0,,,,5.0,,,3.0,3.0,1.0,2.0,4.0,1014.0,0.0
26,1.0,5.0,6.0,34.0,5.0,1.0,,,,4.0,,,3.0,3.0,1.0,2.0,4.0,1014.0,0.0
27,1.0,5.0,6.0,34.0,6.0,,1.0,,,4.0,6477.0,2.0,3.0,3.0,1.0,2.0,4.0,1014.0,0.0
28,1.0,6.0,11.0,86.0,1.0,,,,1.0,2.0,,,1.0,5.0,3.0,4.0,2.0,1014.0,0.0
29,1.0,6.0,11.0,86.0,2.0,,1.0,,,4.0,,,1.0,5.0,3.0,4.0,2.0,1014.0,0.0
30,1.0,6.0,11.0,86.0,3.0,,,1.0,,3.0,4722.0,1.0,1.0,5.0,3.0,4.0,2.0,1014.0,0.0
31,1.0,6.0,11.0,86.0,4.0,,1.0,,,4.0,2576.0,3.0,1.0,5.0,3.0,4.0,2.0,1014.0,0.0
32,1.0,6.0,11.0,86.0,5.0,,1.0,,,3.0,1369.0,3.0,1.0,5.0,3.0,4.0,2.0,1014.0,0.0
33,1.0,6.0,11.0,86.0,6.0,,1.0,,,3.0,1975.0,3.0,1.0,5.0,3.0,4.0,2.0,1014.0,0.0
34,1.0,6.0,11.0,86.0,7.0,,1.0,,,4.0,1856.0,3.0,1.0,5.0,3.0,4.0,2.0,1014.0,0.0
35,1.0,6.0,11.0,86.0,8.0,,1.0,,,3.0,1536.0,3.0,1.0,5.0,3.0,4.0,2.0,1014.0,0.0
36,1.0,7.0,6.0,51.0,1.0,1.0,,,,5.0,,,4.0,2.0,2.0,3.0,1.0,1014.0,0.0
37,1.0,7.0,6.0,51.0,2.0,,1.0,,,6.0,,,4.0,2.0,2.0,3.0,1.0,1014.0,0.0
38,1.0,7.0,6.0,51.0,3.0,1.0,,,,4.0,,,4.0,2.0,2.0,3.0,1.0,1014.0,0.0
39,1.0,7.0,6.0,51.0,4.0,1.0,,,,3.0,,,4.0,2.0,2.0,3.0,1.0,1014.0,0.0
40,1.0,7.0,6.0,51.0,5.0,,1.0,,,6.0,4172.0,1.0,4.0,2.0,2.0,3.0,1.0,1014.0,0.0
41,1.0,8.0,6.0,96.0,1.0,1.0,,,,6.0,,,4.0,4.0,2.0,1.0,3.0,1014.0,0.0
42,1.0,8.0,6.0,96.0,2.0,1.0,,,,6.0,,,4.0,4.0,2.0,1.0,3.0,1014.0,0.0
43,1.0,8.0,6.0,96.0,3.0,1.0,,,,6.0,,,4.0,4.0,2.0,1.0,3.0,1014.0,0.0
44,1.0,8.0,6.0,96.0,4.0,,1.0,,,3.0,,,4.0,4.0,2.0,1.0,3.0,1014.0,0.0
45,1.0,8.0,6.0,96.0,5.0,1.0,,,,6.0,3399.0,2.0,4.0,4.0,2.0,1.0,3.0,1014.0,0.0
46,1.0,9.0,11.0,35.0,1.0,,,,1.0,2.0,,,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
47,1.0,9.0,11.0,35.0,2.0,1.0,,,,6.0,,,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
48,1.0,9.0,11.0,35.0,3.0,1.0,,,,6.0,,,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
49,1.0,9.0,11.0,35.0,4.0,1.0,,,,6.0,,,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
50,1.0,9.0,11.0,35.0,5.0,1.0,,,,6.0,2662.0,1.0,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
51,1.0,9.0,11.0,35.0,6.0,1.0,,,,6.0,4040.0,1.0,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
52,1.0,9.0,11.0,35.0,7.0,1.0,,,,5.0,968.0,1.0,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
53,1.0,9.0,11.0,35.0,8.0,1.0,,,,4.0,1743.0,1.0,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
54,1.0,9.0,11.0,35.0,9.0,1.0,,,,5.0,2505.0,1.0,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
55,1.0,9.0,11.0,35.0,10.0,1.0,,,,5.0,1033.0,1.0,2.0,3.0,1.0,4.0,3.0,1014.0,0.0
56,1.0,10.0,11.0,32.0,1.0,1.0,,,,8.0,,,3.0,7.0,2.0,4.0,1.0,1014.0,0.0
57,1.0,10.0,11.0,32.0,2.0,,1.0,,,7.0,,,3.0,7.0,2.0,4.0,1.0,1014.0,0.0
58,1.0,10.0,11.0,32.0,3.0,1.0,,,,6.0,,,3.0,7.0,2.0,4.0,1.0,1014.0,0.0
59,1.0,10.0,11.0,32.0,4.0,1.0,,,,6.0,,,3.0,7.0,2.0,4.0,1.0,1014.0,0.0
60,1.0,10.0,11.0,32.0,5.0,,,,1.0,5.0,,,3.0,7.0,2.0,4.0,1.0,1014.0,0.0
61,1.0,10.0,11.0,32.0,6.0,1.0,,,,9.0,3109.0,3.0,3.0,7.0,2.0,4.0,1.0,1014.0,0.0
62,1.0,10.0,11.0,32.0,7.0,1.0,,,,7.0,1752.0,3.0,3.0,7.0,2.0,4.0,1.0,1014.0,0.0
63,1.0,10.0,11.0,32.0,8.0,1.0,,,,7.0,1584.0,3.0,3.0,7.0,2.0,4.0,1.0,1014.0,0.0
64,1.0,10.0,11.0,32.0,9.0,1.0,,,,7.0,1136.0,3.0,3.0,7.0,2.0,4.0,1.0,1014.0,0.0
65,1.0,10.0,11.0,32.0,10.0,1.0,,,,6.0,584.0,3.0,3.0,7.0,2.0,4.0,1.0,1014.0,0.0
66,1.0,10.0,11.0,32.0,11.0,1.0,,,,6.0,512.0,3.0,3.0,7.0,2.0,4.0,1.0,1014.0,0.0
67,1.0,11.0,11.0,68.0,1.0,,1.0,,,6.0,,,4.0,5.0,3.0,2.0,1.0,1014.0,0.0
68,1.0,11.0,11.0,68.0,2.0,1.0,,,,3.0,,,4.0,5.0,3.0,2.0,1.0,1014.0,0.0
69,1.0,11.0,11.0,68.0,3.0,1.0,,,,3.0,,,4.0,5.0,3.0,2.0,1.0,1014.0,0.0
70,1.0,11.0,11.0,68.0,4.0,1.0,,,,3.0,,,4.0,5.0,3.0,2.0,1.0,1014.0,0.0
71,1.0,11.0,11.0,68.0,5.0,,1.0,,,6.0,3711.0,2.0,4.0,5.0,3.0,2.0,1.0,1014.0,0.0
72,1.0,11.0,11.0,68.0,6.0,,1.0,,,8.0,536.0,2.0,4.0,5.0,3.0,2.0,1.0,1014.0,0.0
73,1.0,11.0,11.0,68.0,7.0,,1.0,,,6.0,304.0,2.0,4.0,5.0,3.0,2.0,1.0,1014.0,0.0
74,1.0,11.0,11.0,68.0,8.0,,1.0,,,6.0,248.0,2.0,4.0,5.0,3.0,2.0,1.0,1014.0,0.0
75,1.0,11.0,11.0,68.0,9.0,,1.0,,,7.0,176.0,2.0,4.0,5.0,3.0,2.0,1.0,1014.0,0.0
76,1.0,11.0,11.0,68.0,10.0,,1.0,,,7.0,240.0,2.0,4.0,5.0,3.0,2.0,1.0,1014.0,0.0
77,1.0,12.0,6.0,6.0,1.0,1.0,,,,7.0,,,4.0,5.0,3.0,1.0,2.0,1014.0,0.0
78,1.0,12.0,6.0,6.0,2.0,1.0,,,,7.0,,,4.0,5.0,3.0,1.0,2.0,1014.0,0.0
79,1.0,12.0,6.0,6.0,3.0,,1.0,,,8.0,,,4.0,5.0,3.0,1.0,2.0,1014.0,0.0
80,1.0,12.0,6.0,6.0,4.0,1.0,,,,7.0,,,4.0,5.0,3.0,1.0,2.0,1014.0,0.0
81,1.0,12.0,6.0,6.0,5.0,,1.0,,,8.0,5934.0,3.0,4.0,5.0,3.0,1.0,2.0,1014.0,0.0
82,1.0,13.0,6.0,63.0,1.0,1.0,,,,6.0,,,4.0,6.0,3.0,2.0,1.0,1014.0,0.0
83,1.0,13.0,6.0,63.0,2.0,1.0,,,,6.0,,,4.0,6.0,3.0,2.0,1.0,1014.0,0.0
84,1.0,13.0,6.0,63.0,3.0,1.0,,,,6.0,,,4.0,6.0,3.0,2.0,1.0,1014.0,0.0
85,1.0,13.0,6.0,63.0,4.0,,1.0,,,8.0,,,4.0,6.0,3.0,2.0,1.0,1014.0,0.0
86,1.0,13.0,6.0,63.0,5.0,,1.0,,,7.0,4511.0,2.0,4.0,6.0,3.0,2.0,1.0,1014.0,0.0
87,1.0,14.0,6.0,31.0,1.0,,,,1.0,5.0,,,1.0,7.0,3.0,2.0,4.0,1014.0,0.0
88,1.0,14.0,6.0,31.0,2.0,,1.0,,,6.0,,,1.0,7.0,3.0,2.0,4.0,1014.0,0.0
89,1.0,14.0,6.0,31.0,3.0,,,1.0,,8.0,4171.0,1.0,1.0,7.0,3.0,2.0,4.0,1014.0,0.0
90,1.0,15.0,6.0,79.0,1.0,,,,1.0,2.0,,,3.0,3.0,2.0,4.0,1.0,1014.0,0.0
91,1.0,15.0,6.0,79.0,2.0,,1.0,,,4.0,,,3.0,3.0,2.0,4.0,1.0,1014.0,0.0
92,1.0,15.0,6.0,79.0,3.0,1.0,,,,6.0,,,3.0,3.0,2.0,4.0,1.0,1014.0,0.0
93,1.0,15.0,6.0,79.0,4.0,1.0,,,,6.0,,,3.0,3.0,2.0,4.0,1.0,1014.0,0.0
94,1.0,15.0,6.0,79.0,5.0,1.0,,,,6.0,,,3.0,3.0,2.0,4.0,1.0,1014.0,0.0
95,1.0,15.0,6.0,79.0,6.0,1.0,,,,6.0,3476.0,3.0,3.0,3.0,2.0,4.0,1.0,1014.0,0.0
96,1.0,16.0,6.0,11.0,1.0,1.0,,,,9.0,,,2.0,4.0,3.0,1.0,4.0,1014.0,0.0
97,1.0,16.0,6.0,11.0,2.0,1.0,,,,8.0,,,2.0,4.0,3.0,1.0,4.0,1014.0,0.0
98,1.0,16.0,6.0,11.0,3.0,1.0,,,,10.0,,,2.0,4.0,3.0,1.0,4.0,1014.0,0.0
99,1.0,16.0,6.0,11.0,4.0,,,,1.0,5.0,,,2.0,4.0,3.0,1.0,4.0,1014.0,0.0
100,1.0,16.0,6.0,11.0,5.0,1.0,,,,10.0,4118.0,2.0,2.0,4.0,3.0,1.0,4.0,1014.0,0.0
101,1.0,17.0,11.0,26.0,1.0,,1.0,,,3.0,,,3.0,6.0,4.0,1.0,2.0,1014.0,0.0
102,1.0,17.0,11.0,26.0,2.0,1.0,,,,5.0,,,3.0,6.0,4.0,1.0,2.0,1014.0,0.0
103,1.0,17.0,11.0,26.0,3.0,1.0,,,,5.0,,,3.0,6.0,4.0,1.0,2.0,1014.0,0.0
104,1.0,17.0,11.0,26.0,4.0,,,,1.0,2.0,,,3.0,6.0,4.0,1.0,2.0,1014.0,0.0
105,1.0,17.0,11.0,26.0,5.0,1.0,,,,5.0,,,3.0,6.0,4.0,1.0,2.0,1014.0,0.0
106,1.0,17.0,11.0,26.0,6.0,1.0,,,,4.0,4715.0,2.0,3.0,6.0,4.0,1.0,2.0,1014.0,0.0
107,1.0,17.0,11.0,26.0,7.0,1.0,,,,5.0,664.0,2.0,3.0,6.0,4.0,1.0,2.0,1014.0,0.0
108,1.0,17.0,11.0,26.0,8.0,1.0,,,,4.0,584.0,2.0,3.0,6.0,4.0,1.0,2.0,1014.0,0.0
109,1.0,17.0,11.0,26.0,9.0,1.0,,,,5.0,464.0,2.0,3.0,6.0,4.0,1.0,2.0,1014.0,0.0
110,1.0,17.0,11.0,26.0,10.0,1.0,,,,5.0,424.0,2.0,3.0,6.0,4.0,1.0,2.0,1014.0,0.0
111,1.0,17.0,11.0,26.0,11.0,1.0,,,,5.0,352.0,2.0,3.0,6.0,4.0,1.0,2.0,1014.0,0.0
112,1.0,18.0,6.0,32.0,1.0,1.0,,,,8.0,,,3.0,4.0,2.0,1.0,4.0,1014.0,0.0
113,1.0,18.0,6.0,32.0,2.0,,1.0,,,7.0,,,3.0,4.0,2.0,1.0,4.0,1014.0,0.0
114,1.0,18.0,6.0,32.0,3.0,1.0,,,,6.0,,,3.0,4.0,2.0,1.0,4.0,1014.0,0.0
115,1.0,18.0,6.0,32.0,4.0,1.0,,,,6.0,,,3.0,4.0,2.0,1.0,4.0,1014.0,0.0
116,1.0,18.0,6.0,32.0,5.0,,,,1.0,5.0,,,3.0,4.0,2.0,1.0,4.0,1014.0,0.0
117,1.0,18.0,6.0,32.0,6.0,1.0,,,,9.0,9642.0,2.0,3.0,4.0,2.0,1.0,4.0,1014.0,0.0
118,1.0,19.0,11.0,2.0,1.0,,1.0,,,6.0,,,4.0,2.0,3.0,1.0,2.0,1014.0,0.0
119,1.0,19.0,11.0,2.0,2.0,1.0,,,,8.0,,,4.0,2.0,3.0,1.0,2.0,1014.0,0.0
120,1.0,19.0,11.0,2.0,3.0,1.0,,,,3.0,,,4.0,2.0,3.0,1.0,2.0,1014.0,0.0
121,1.0,19.0,11.0,2.0,4.0,1.0,,,,7.0,,,4.0,2.0,3.0,1.0,2.0,1014.0,0.0
122,1.0,19.0,11.0,2.0,5.0,,,1.0,,6.0,6934.0,1.0,4.0,2.0,3.0,1.0,2.0,1014.0,0.0
123,1.0,19.0,11.0,2.0,6.0,1.0,,,,6.0,2128.0,2.0,4.0,2.0,3.0,1.0,2.0,1014.0,0.0
124,1.0,19.0,11.0,2.0,7.0,1.0,,,,8.0,1392.0,2.0,4.0,2.0,3.0,1.0,2.0,1014.0,0.0
125,1.0,19.0,11.0,2.0,8.0,,,1.0,,6.0,3176.0,1.0,4.0,2.0,3.0,1.0,2.0,1014.0,0.0
126,1.0,19.0,11.0,2.0,9.0,1.0,,,,3.0,728.0,2.0,4.0,2.0,3.0,1.0,2.0,1014.0,0.0
127,1.0,19.0,11.0,2.0,10.0,1.0,,,,7.0,1072.0,2.0,4.0,2.0,3.0,1.0,2.0,1014.0,0.0
128,1.0,20.0,6.0,69.0,1.0,1.0,,,,7.0,,,2.0,5.0,1.0,3.0,4.0,1014.0,0.0
129,1.0,20.0,6.0,69.0,2.0,,,,1.0,5.0,,,2.0,5.0,1.0,3.0,4.0,1014.0,0.0
130,1.0,20.0,6.0,69.0,3.0,1.0,,,,6.0,,,2.0,5.0,1.0,3.0,4.0,1014.0,0.0
131,1.0,20.0,6.0,69.0,4.0,1.0,,,,7.0,,,2.0,5.0,1.0,3.0,4.0,1014.0,0.0
132,1.0,20.0,6.0,69.0,5.0,1.0,,,,6.0,2535.0,1.0,2.0,5.0,1.0,3.0,4.0,1014.0,0.0
133,1.0,21.0,11.0,8.0,1.0,1.0,,,,5.0,,,2.0,7.0,3.0,4.0,1.0,1014.0,0.0
134,1.0,21.0,11.0,8.0,2.0,1.0,,,,4.0,,,2.0,7.0,3.0,4.0,1.0,1014.0,0.0
135,1.0,21.0,11.0,8.0,3.0,,,,1.0,3.0,,,2.0,7.0,3.0,4.0,1.0,1014.0,0.0
136,1.0,21.0,11.0,8.0,4.0,1.0,,,,4.0,,,2.0,7.0,3.0,4.0,1.0,1014.0,0.0
137,1.0,21.0,11.0,8.0,5.0,,,1.0,,5.0,4495.0,1.0,2.0,7.0,3.0,4.0,1.0,1014.0,0.0
138,1.0,21.0,11.0,8.0,6.0,,,1.0,,7.0,784.0,1.0,2.0,7.0,3.0,4.0,1.0,1014.0,0.0
139,1.0,21.0,11.0,8.0,7.0,,,1.0,,6.0,768.0,1.0,2.0,7.0,3.0,4.0,1.0,1014.0,0.0
140,1.0,21.0,11.0,8.0,8.0,,,1.0,,6.0,800.0,1.0,2.0,7.0,3.0,4.0,1.0,1014.0,0.0
141,1.0,21.0,11.0,8.0,9.0,,,1.0,,6.0,744.0,1.0,2.0,7.0,3.0,4.0,1.0,1014.0,0.0
142,1.0,21.0,11.0,8.0,10.0,,,1.0,,7.0,672.0,1.0,2.0,7.0,3.0,4.0,1.0,1014.0,0.0
143,1.0,22.0,6.0,84.0,1.0,,,,1.0,2.0,,,1.0,8.0,4.0,2.0,3.0,1014.0,0.0
144,1.0,22.0,6.0,84.0,2.0,,1.0,,,3.0,,,1.0,8.0,4.0,2.0,3.0,1014.0,0.0
145,1.0,22.0,6.0,84.0,3.0,,,1.0,,4.0,3749.0,3.0,1.0,8.0,4.0,2.0,3.0,1014.0,0.0
146,1.0,23.0,6.0,86.0,1.0,,,,1.0,2.0,,,1.0,4.0,2.0,4.0,3.0,1014.0,0.0
147,1.0,23.0,6.0,86.0,2.0,,1.0,,,4.0,,,1.0,4.0,2.0,4.0,3.0,1014.0,0.0
148,1.0,23.0,6.0,86.0,3.0,,,1.0,,3.0,6550.0,3.0,1.0,4.0,2.0,4.0,3.0,1014.0,0.0
149,1.0,24.0,6.0,83.0,1.0,,,,1.0,2.0,,,1.0,2.0,3.0,4.0,2.0,1014.0,0.0
150,1.0,24.0,6.0,83.0,2.0,,1.0,,,3.0,,,1.0,2.0,3.0,4.0,2.0,1014.0,0.0
151,1.0,24.0,6.0,83.0,3.0,,,1.0,,6.0,4902.0,1.0,1.0,2.0,3.0,4.0,2.0,1014.0,0.0
152,1.0,25.0,6.0,60.0,1.0,,,,1.0,5.0,,,2.0,2.0,4.0,1.0,3.0,1014.0,0.0
153,1.0,25.0,6.0,60.0,2.0,1.0,,,,9.0,,,2.0,2.0,4.0,1.0,3.0,1014.0,0.0
154,1.0,25.0,6.0,60.0,3.0,1.0,,,,9.0,,,2.0,2.0,4.0,1.0,3.0,1014.0,0.0
155,1.0,25.0,6.0,60.0,4.0,1.0,,,,10.0,,,2.0,2.0,4.0,1.0,3.0,1014.0,0.0
156,1.0,25.0,6.0,60.0,5.0,1.0,,,,7.0,2638.0,2.0,2.0,2.0,4.0,1.0,3.0,1014.0,0.0
157,1.0,26.0,6.0,12.0,1.0,1.0,,,,3.0,,,2.0,3.0,4.0,1.0,3.0,1014.0,0.0
158,1.0,26.0,6.0,12.0,2.0,1.0,,,,4.0,,,2.0,3.0,4.0,1.0,3.0,1014.0,0.0
159,1.0,26.0,6.0,12.0,3.0,1.0,,,,3.0,,,2.0,3.0,4.0,1.0,3.0,1014.0,0.0
160,1.0,26.0,6.0,12.0,4.0,,,,1.0,2.0,,,2.0,3.0,4.0,1.0,3.0,1014.0,0.0
161,1.0,26.0,6.0,12.0,5.0,,,1.0,,4.0,6739.0,3.0,2.0,3.0,4.0,1.0,3.0,1014.0,0.0
162,1.0,27.0,6.0,59.0,1.0,,,,1.0,8.0,,,1.0,3.0,3.0,4.0,2.0,1014.0,0.0
163,1.0,27.0,6.0,59.0,2.0,,1.0,,,10.0,,,1.0,3.0,3.0,4.0,2.0,1014.0,0.0
164,1.0,27.0,6.0,59.0,3.0,,1.0,,,10.0,3234.0,3.0,1.0,3.0,3.0,4.0,2.0,1014.0,0.0
165,1.0,28.0,11.0,25.0,1.0,1.0,,,,6.0,,,4.0,6.0,1.0,2.0,3.0,1014.0,0.0
166,1.0,28.0,11.0,25.0,2.0,1.0,,,,6.0,,,4.0,6.0,1.0,2.0,3.0,1014.0,0.0
167,1.0,28.0,11.0,25.0,3.0,1.0,,,,7.0,,,4.0,6.0,1.0,2.0,3.0,1014.0,0.0
168,1.0,28.0,11.0,25.0,4.0,,1.0,,,8.0,,,4.0,6.0,1.0,2.0,3.0,1014.0,0.0
169,1.0,28.0,11.0,25.0,5.0,,,1.0,,8.0,5839.0,3.0,4.0,6.0,1.0,2.0,3.0,1014.0,0.0
170,1.0,28.0,11.0,25.0,6.0,,,1.0,,8.0,1288.0,3.0,4.0,6.0,1.0,2.0,3.0,1014.0,0.0
171,1.0,28.0,11.0,25.0,7.0,,,1.0,,8.0,984.0,3.0,4.0,6.0,1.0,2.0,3.0,1014.0,0.0
172,1.0,28.0,11.0,25.0,8.0,,,1.0,,7.0,919.0,3.0,4.0,6.0,1.0,2.0,3.0,1014.0,0.0
173,1.0,28.0,11.0,25.0,9.0,,1.0,,,8.0,2361.0,2.0,4.0,6.0,1.0,2.0,3.0,1014.0,0.0
174,1.0,28.0,11.0,25.0,10.0,,1.0,,,9.0,992.0,2.0,4.0,6.0,1.0,2.0,3.0,1014.0,0.0
175,1.0,29.0,11.0,5.0,1.0,,1.0,,,9.0,,,1.0,5.0,2.0,4.0,3.0,1014.0,0.0
176,1.0,29.0,11.0,5.0,2.0,,,,1.0,4.0,,,1.0,5.0,2.0,4.0,3.0,1014.0,0.0
177,1.0,29.0,11.0,5.0,3.0,,1.0,,,8.0,3986.0,1.0,1.0,5.0,2.0,4.0,3.0,1014.0,0.0
178,1.0,29.0,11.0,5.0,4.0,,1.0,,,9.0,952.0,1.0,1.0,5.0,2.0,4.0,3.0,1014.0,0.0
179,1.0,29.0,11.0,5.0,5.0,,1.0,,,7.0,776.0,1.0,1.0,5.0,2.0,4.0,3.0,1014.0,0.0
180,1.0,29.0,11.0,5.0,6.0,,,1.0,,4.0,2416.0,3.0,1.0,5.0,2.0,4.0,3.0,1014.0,0.0
181,1.0,29.0,11.0,5.0,7.0,,1.0,,,8.0,1847.0,1.0,1.0,5.0,2.0,4.0,3.0,1014.0,0.0
182,1.0,29.0,11.0,5.0,8.0,,1.0,,,7.0,625.0,1.0,1.0,5.0,2.0,4.0,3.0,1014.0,0.0
183,1.0,30.0,11.0,67.0,1.0,1.0,,,,4.0,,,4.0,6.0,2.0,1.0,3.0,1014.0,0.0
184,1.0,30.0,11.0,67.0,2.0,,1.0,,,6.0,,,4.0,6.0,2.0,1.0,3.0,1014.0,0.0
185,1.0,30.0,11.0,67.0,3.0,1.0,,,,3.0,,,4.0,6.0,2.0,1.0,3.0,1014.0,0.0
186,1.0,30.0,11.0,67.0,4.0,1.0,,,,5.0,,,4.0,6.0,2.0,1.0,3.0,1014.0,0.0
187,1.0,30.0,11.0,67.0,5.0,,,1.0,,7.0,4970.0,3.0,4.0,6.0,2.0,1.0,3.0,1014.0,0.0
188,1.0,30.0,11.0,67.0,6.0,,,1.0,,6.0,945.0,3.0,4.0,6.0,2.0,1.0,3.0,1014.0,0.0
189,1.0,30.0,11.0,67.0,7.0,,,1.0,,7.0,688.0,3.0,4.0,6.0,2.0,1.0,3.0,1014.0,0.0
190,1.0,30.0,11.0,67.0,8.0,,,1.0,,8.0,768.0,3.0,4.0,6.0,2.0,1.0,3.0,1014.0,0.0
191,1.0,30.0,11.0,67.0,9.0,,,1.0,,7.0,464.0,3.0,4.0,6.0,2.0,1.0,3.0,1014.0,0.0
192,1.0,30.0,11.0,67.0,10.0,,,1.0,,7.0,512.0,3.0,4.0,6.0,2.0,1.0,3.0,1014.0,0.0
193,1.0,31.0,11.0,55.0,1.0,1.0,,,,6.0,,,2.0,2.0,1.0,4.0,3.0,1014.0,0.0
194,1.0,31.0,11.0,55.0,2.0,1.0,,,,4.0,,,2.0,2.0,1.0,4.0,3.0,1014.0,0.0
195,1.0,31.0,11.0,55.0,3.0,,,,1.0,3.0,,,2.0,2.0,1.0,4.0,3.0,1014.0,0.0
196,1.0,31.0,11.0,55.0,4.0,1.0,,,,5.0,,,2.0,2.0,1.0,4.0,3.0,1014.0,0.0
197,1.0,31.0,11.0,55.0,5.0,,,1.0,,10.0,3755.0,3.0,2.0,2.0,1.0,4.0,3.0,1014.0,0.0
198,1.0,31.0,11.0,55.0,6.0,,,1.0,,10.0,816.0,3.0,2.0,2.0,1.0,4.0,3.0,1014.0,0.0
199,1.0,31.0,11.0,55.0,7.0,,,1.0,,10.0,448.0,3.0,2.0,2.0,1.0,4.0,3.0,1014.0,0.0
200,1.0,31.0,11.0,55.0,8.0,,,1.0,,10.0,296.0,3.0,2.0,2.0,1.0,4.0,3.0,1014.0,0.0
201,1.0,31.0,11.0,55.0,9.0,,,1.0,,10.0,200.0,3.0,2.0,2.0,1.0,4.0,3.0,1014.0,0.0
202,1.0,31.0,11.0,55.0,10.0,,,1.0,,10.0,216.0,3.0,2.0,2.0,1.0,4.0,3.0,1014.0,0.0
203,1.0,32.0,11.0,89.0,1.0,1.0,,,,4.0,,,4.0,6.0,2.0,3.0,1.0,1014.0,0.0
204,1.0,32.0,11.0,89.0,2.0,1.0,,,,5.0,,,4.0,6.0,2.0,3.0,1.0,1014.0,0.0
205,1.0,32.0,11.0,89.0,3.0,1.0,,,,6.0,,,4.0,6.0,2.0,3.0,1.0,1014.0,0.0
206,1.0,32.0,11.0,89.0,4.0,,1.0,,,3.0,,,4.0,6.0,2.0,3.0,1.0,1014.0,0.0
