,Thompson,Thompson_epsilon,Thompson_eta,Thompson_epsilon_eta,UCB_beta,UCB_beta_epsilon,UCB_beta_eta,UCB_beta_epsilon_eta,hybrid,hybrid_epsilon,hybrid_eta,hybrid_epsilon_eta,UCB_b1,UCB_b1_epsilon,UCB_b1_eta,UCB_b1_epsilon_eta,ID
10,746.7160732917155,725.8723277758718,735.5813799466453,699.8009515534475,729.5580723982466,732.9786810296164,732.1051916546647,717.6529405180139,738.3149334723792,746.0361648278617,720.8877245467099,729.758287394407,744.1298276439622,722.8933041863975,749.1162206700498,713.9606771381581,14
11,582.4304327872735,507.4350233266131,606.5323065163911,487.47115805369634,517.4789489790302,501.5043645699871,513.9668396170033,495.4842475512526,525.5003364468014,509.707571828857,511.0608035494328,513.2994066510481,523.9289190393332,511.5071801622017,522.473365394103,504.9833523833036,15
12,729.7131332382669,683.9395128425566,697.4410138908473,660.1762010466786,693.7974141527803,682.581672652772,693.2713027048603,664.2891277149153,704.0578058842356,691.4779822773133,685.4016658171048,679.7213480149557,709.3506878795552,684.0630807894092,713.0298772498325,674.6120455420685,16
13,677.7869790124803,608.4151959170191,679.5931743257395,613.6788446254193,623.8687104980664,610.9949284602538,629.5651017325334,614.9030899761375,627.9442798515553,638.1343470657647,632.9808866928038,630.8496262834745,613.235421347785,618.7285276550355,619.2189725867391,623.1015503386528,17
15,476.1978937931773,479.15062269570706,450.1171207820356,439.3671757613787,454.5102808986964,455.4904743877277,446.60203230828125,437.7926834180574,461.34578049514033,461.3332766508772,456.02437852369746,448.79123065169347,472.06616614300043,484.04909851747266,465.08406188790207,477.06699839259426,21
16,449.6690552133012,428.7426059417007,451.566575557698,420.72135103745876,434.1751799137959,428.9632034659814,437.4727379041271,427.6406862996522,448.187000113478,437.15650278163685,440.7806176665699,440.58403055468244,439.5233088887288,451.12799648371634,441.5421967232501,452.27814923766704,23
17,472.4084904863482,478.2635337462342,440.0089115968737,440.4497640956542,471.7279823775226,480.9300768260193,435.4662695003092,440.3129374114659,470.1342181826607,477.3597178630052,440.30557224970073,445.8089267543729,504.3841296597057,516.3670610148914,478.9155663987581,490.8984955731549,31
18,455.92840236106935,446.6316526532669,462.20524395681974,448.8909295086414,518.7010434500252,528.466637253121,493.07761661148237,502.3190204779171,462.47177440056515,469.87845787977005,465.6229397139904,471.6048698627012,512.2018330645285,524.1258085700773,495.53984136676917,507.52277054099994,35
19,622.9424108562733,581.5919338342285,596.1878477563561,549.4998990640332,580.4209503036133,575.3621024322116,563.2695954739356,555.2860853383722,587.8047731512098,570.3353280459213,567.0648073857479,565.7102474394356,581.857702225818,593.4057718302839,564.7851850075784,574.2501680656007,38
20,528.4799451027001,505.3686115496998,530.6619782494541,493.9727150981832,527.7339917641161,526.9989918072837,502.44043627506284,495.9030980326871,521.5252822949154,522.936075039219,512.3933590577439,508.27096391099684,530.62290019252,542.6058302391282,511.64249590011707,523.616002262128,39
21,552.6199376024953,519.2364357254694,540.9277969713212,501.39332097318567,513.7952356492312,507.98464049131843,512.9134263151489,495.3955952028927,527.8347918421329,516.8531082094371,520.5007543774091,507.1402603575928,515.4115638177152,527.3944927808682,513.5324531707673,525.3871845454019,40
22,345.0968605196704,347.6713205522629,336.00808508394397,341.12622032479936,317.8741250574146,320.57256517631134,317.79130208759153,320.28083470480146,333.0030133209714,377.6286424975887,358.5286381252382,338.19568351966353,372.8377098878341,384.82064069910064,380.7162253687968,392.6991596330566,41
24,400.81338339840227,402.1907198184811,379.869917899207,375.1863564909835,377.57834393053264,386.0810563110839,362.8729895727502,365.71594048501964,367.89719767822606,371.3061790204062,393.70823786851537,374.8185112139799,392.63541440690636,404.61834543302115,378.37655450195734,390.35948069463177,44
25,548.9612838229975,524.280802525261,544.2864633370065,517.9989924072174,538.7818074214065,505.33671293605903,548.801231983356,502.9677223186104,544.7712370652496,520.7079266211999,540.2086948050459,518.0069448003063,538.4960617358439,537.5324274751636,547.3482456826806,544.313870276494,46
26,591.6155532776841,537.4930183770257,603.5984824613589,544.1628534224478,576.6866905784091,569.2079129919781,570.3177479491101,550.4053981542298,558.0246211123814,557.6798174376746,565.7785176284062,558.3413372595215,569.2172723803818,577.7619327770957,564.0530783882435,572.4654548387983,49
27,712.3116295874053,609.4567062450382,624.995967336158,603.879636348337,607.4636518060754,617.2886626123006,603.0367273170964,610.3594304834704,615.5766934085865,624.8630784005164,614.9171441714818,633.8369760116667,606.0634461192416,607.3009962617743,605.6098837083704,602.2446298907468,50
28,460.0287514345713,442.9548918348376,443.5218886503612,408.05920509339364,437.08505392785395,429.03820210485753,428.55833585758575,393.97097786132326,448.49160856078703,443.7194210864943,428.99091491402334,409.28772831835164,438.0494284733015,449.9335495390618,431.1710836587509,441.6944720663773,53
31,430.9684800847739,403.1903070305144,416.99094623469375,383.35868091252746,361.48590170711145,317.89619867407094,370.5308305437842,321.67981421146686,422.41599479073983,433.1476300437236,403.0397457637874,329.05061485423744,404.66311199395284,416.6460434700255,407.63209738648214,419.3494220325173,63
