,ID,Q_0,gamma_short,gamma_long,beta_short,beta_long,epsilon_short,epsilon_long,eta_short,eta_long
0,1.0,2.399614135367862,3.3853990613266643e-06,0.17467932112169948,3.1272767876620997,14469608.331083516,0.1023280090387062,0.2100174098502245,2.3583227639043955,4.999993977513393
1,3.0,1.7625767480695167,2.1595628334343192e-07,9.560320585214706e-06,3.254696291877706,2.4088926553114423,0.07658699902023902,0.07858690137308909,2.650275460034296,3.929601062341069
2,4.0,2.07203796066297,2.3291401230569232e-07,0.020828712564034388,1.0102563855512707,1.457061592058986,7.098665279832761e-08,0.206290856968805,2.208064178305429,1.8369986366297235
3,6.0,2.999156509513354,5.362933641824276e-06,2.3557245318051445e-06,1.5541764438173062,0.603498622607951,0.34996861397516726,0.41139147968287276,2.999130703498473,3.926700721494739
4,8.0,2.5637054184696986,6.069596242213292e-07,7.727481715748264e-07,1.582075860165327,1.2743577418234537,0.19728497435074632,0.12765386862345884,3.5848790593651754,2.9580352620392176
5,9.0,1.1835088140521355,3.282126209317736e-08,0.9372858280564464,1.7783030836095628,1.6990910565635602,0.0847178290138336,0.1579645194573544,4.237396808866807,4.999999964135409
6,10.0,1.0000000419955257,4.900920086547287e-08,3.1940745553364516e-08,3.3072242090575217,2.245934268276693,0.1683147280674305,0.10992137990870417,2.9012081970186125,3.315031650855025
7,11.0,1.0000000732431205,3.2281204120407416e-08,1.6604898371051678e-07,1.698759819508123,2.3986271443603275,0.0361938177930374,0.1815366996274219,3.6132163138235107,3.81539620960146
8,12.0,1.2163939612582324,9.014735615607104e-08,0.05815810796827283,2.2809601809193922,2.0385223801636503,0.1786196498481752,0.18206278357568637,4.101950562177533,4.99999989031648
9,13.0,1.5776784184863846,1.51847362560304e-08,2.510927756110276,1.9378163982805048,0.9152139112324471,0.20173237703489397,0.07426209463024097,4.7017569938329125,4.999999991674464
10,14.0,1.0000142398531167,1.3907265643783045e-06,1.0673372517554656e-06,1.4467927589146483,1.8869197708164922,0.27875046658117897,0.3365348388987422,3.8725545753552306,4.996187776663638
11,15.0,3.448632356186605,4.307272650343679e-07,1.805754246308869,2.530453366500514,1.8534709375581013,0.09278283249206686,0.2116477423404329,3.1574498326862748,3.3134234088271124
12,16.0,1.7859180509612924,4.2496875042617107e-07,5.193764098202851e-07,3.1383582462381674,2.1833917999011416,0.26360901673012505,0.385923977630936,4.169744555820989,4.999998309870814
13,17.0,2.538509232440054,3.414429739494006e-07,1.3587817044103592,2.0505035393193265,2.1429697009057067,0.2554553424299494,0.20011834913230428,2.839524714549534,1.6170205727345142
