,ID,sigma_0_short,sigma_0_long,Q_0
0,1.0,2.122585177816839,2.460466869975012,6.578946968931612
1,3.0,1.1257166476613172,0.8977223666791172,5.376314374467381
2,4.0,0.26095690139305305,0.2385772054795998,4.495556279603035
3,6.0,0.19136090047688872,0.11512266840678116,6.167316069246602
4,8.0,0.2612886580672648,0.37682939184374675,5.9515769396128535
5,9.0,0.5273509264335715,0.21537514650008743,6.077433497682115
6,10.0,0.28139990390022834,0.6062579641544859,4.425447438739383
7,11.0,2.2429749129317313,0.5139770381689165,5.184850332360418
8,12.0,0.890491565420872,0.37149271469043016,5.795267444170617
9,13.0,0.19676134097315506,0.2826114531742746,7.14988665247557
10,14.0,0.19678645598975508,0.17779138490407456,5.76331621883643
11,15.0,2.0306948368076867,0.2114162036561303,7.614950062063264
12,16.0,0.28551578834878055,0.17697302971238843,6.103232488278336
13,17.0,0.21539632334709993,0.4263206669486323,5.844108644867194
15,21.0,1.6410441455199396,0.8586941583941226,6.07017824926354
16,23.0,1.5504961889104292,1.0917410963685275,7.212820603198924
17,31.0,0.8984970778797603,0.752408766881549,4.71448133470507
18,35.0,0.48357768834406334,0.6034926359144984,3.177385855901645
19,38.0,1.164635944768671,2.927327121106951,4.809799013670608
20,39.0,0.6428050472180797,0.6653097248242436,4.18134776796378
21,40.0,0.6984067145226165,0.6858474814502812,5.473108720499222
22,41.0,1.2587018044946756,0.8824648702602601,6.3920835493611
24,44.0,1.8712874662966614,1.6908894983162293,7.635365077576399
25,46.0,0.8808135769626559,0.3298487063068103,6.623762843551201
26,49.0,0.1909560938961672,0.3230975984002453,3.5633653798399374
27,50.0,0.228865952164969,0.2461885041200452,6.403199754929974
28,53.0,0.5649829989359654,1.0628248384559733,6.437693730842507
31,63.0,1.533756226667496,1.1173152958225292,7.114382345757307
32,64.0,0.30154910401932544,0.3028924706030844,3.9949944620542803
33,65.0,1.2187320977179084,0.3472329292206667,7.127188690695251
34,66.0,1.832864702427769,2.3335753742601146,7.356665749212384
35,67.0,0.8695810286816719,0.3716179540484845,5.784708923679181
36,68.0,1.1940240257389187,1.5040431673183026,7.0142119240002385
37,69.0,0.12589286628176408,0.1073951419327045,2.6080513582340052
38,71.0,4.134031574122346,1.0459924445455955,7.005611804410528
39,72.0,0.1338700271346458,0.1772677055241153,5.9084850868885805
40,73.0,0.3056070723645667,0.229114644103545,7.0127449398997115
41,74.0,2.9035059595516786,1.762909373119435,7.735805959016864
42,75.0,0.6180025514196577,0.5621225386029416,5.07085703192745
44,77.0,0.09338255226189182,0.1515025574825979,1.585384889785908
45,78.0,1.0964660188317894,0.30692730786687916,4.144317259754122
46,79.0,2.034265372602403,1.4721438838052856,7.701594604608547
47,80.0,2.1040621521050973,2.607969191677713,6.036364436339638
48,81.0,1.3499921693980736,1.5457086814906358,7.629985134063737
49,83.0,1.635268376186212,0.837753638771661,6.175325169265447
50,84.0,0.8192841974504347,0.23448312647835268,7.1111061707321355
51,85.0,0.1926271464953874,0.13031788675585895,4.511229322383777
52,86.0,0.9300343147832836,0.333691354725938,5.639212247061096
53,87.0,0.09662854201894,0.12140300852659382,6.438840768976644
54,89.0,2.5439221284589393,1.7564061936547184,7.273372894436494
55,90.0,1.216161730745268,2.338084795369718,5.534547131971342
56,91.0,2.117527138499845,0.20985064610097906,7.006681834894284
57,93.0,0.7654841488355394,0.21506042334146233,3.8146795024805886
58,94.0,0.2943452379498455,0.15359369318191632,6.2489111471102845
59,95.0,0.4216283432288007,0.1570570537626111,6.313318258571921
60,97.0,0.9170712787973532,0.8664386430137226,5.48404653775703
62,100.0,5.999999163824514,0.16349325052580937,6.9373110321213405
63,101.0,0.21141841677189074,0.3901452242989611,5.235098146543785
64,103.0,5.567080450614456,2.944124875653886,9.849492305926798
65,105.0,1.8758584042410673,1.0932637725493668,6.784419834011628
66,106.0,0.3714314389911407,0.39705473319527124,5.279148110469697
67,107.0,0.2573102182596571,0.24439964666131786,4.285321989555187
68,108.0,1.5905825491363055,1.7108749336900069,6.618461814260624
69,109.0,1.01518632037318,0.9602861629398266,4.776851675281919
70,110.0,0.8431375842939156,0.5366849876982203,5.666152072675421
71,111.0,1.362804163734433,0.5386517010879164,6.186454696732306
72,112.0,0.6630549462312075,0.799171427713337,5.121891185941252
74,114.0,1.0882379343616055,0.6048771968312547,5.0978890835989175
75,115.0,4.041709359615485,1.7605242546758713,7.626113810908171
76,116.0,0.9535938305084423,0.8890889243750628,6.58708591123883
77,117.0,0.2173345690468376,0.23664156509652917,5.323009000707691
78,118.0,0.47991774011228133,0.4041303437340593,4.945104629192446
79,119.0,1.4598692919239138,1.1785439297854037,6.947993937465698
80,120.0,1.9009990803742933,1.5871231694554977,7.659353859786379
81,121.0,0.9993938343824098,1.3035993446694432,5.142800300088351
82,122.0,0.26304013672118576,0.36382946981868614,5.465148065952537
83,123.0,0.5840768814016227,0.8523281312927515,5.919368186734321
84,125.0,0.7154923918286953,0.36855721759671317,5.287236103942675
85,127.0,1.3257158193655676,0.7409405708724346,6.22388323658019
86,128.0,0.293314038418067,0.39086329284551585,4.818711844633295
87,129.0,0.13947032025413916,0.11021542780948504,5.174148469288569
88,130.0,2.4011308690357844,2.424370144676902,9.841840537840751
90,132.0,1.2444331419444195,1.0179013856543417,5.6810062219762045
91,133.0,5.999997849259108,1.1452991229632574,7.341972159797614
92,134.0,1.5986583730361132,0.8326735134380552,6.688165420291578
93,135.0,0.390511569461369,0.17586723827940687,4.737755625140261
94,136.0,0.3854771030554897,0.3149198722771908,6.9919046973048395
95,137.0,1.1490071611949835,0.24948104462769555,6.806901469043648
96,138.0,1.2641578078936513,5.999999304286229,4.794416651820997
97,139.0,1.3430222496994568,1.0997270725219206,7.32805177312256
98,141.0,0.5112460190807949,0.30657353467060217,5.189085732174895
99,142.0,1.4481287085046832,1.3318952169177867,6.61952979760594
100,143.0,1.2416897688796307,1.3607725641782418,6.475847018563591
101,144.0,0.7900906133464166,0.8010689225555878,5.779916827450138
103,147.0,0.36965771166227995,0.21675539474074434,4.80086147414711
104,148.0,1.7228555525883975,0.1405537668125683,6.540148222411115
105,149.0,0.19683622194603154,0.1504654846954831,4.35512159435269
106,150.0,0.14016170728348903,0.015598042528567243,3.7602132593745243
107,152.0,0.8537001862507679,0.19568729654461073,4.152917137125371
108,153.0,1.1513829740074257,1.3354728828099258,3.836351166284842
109,154.0,1.192438562018112,0.9173058820085496,6.348606616600927
110,155.0,0.32081212105829865,0.32557560888703885,6.3427123082640575
111,156.0,0.402157226862442,0.48420517575579014,6.077236521819903
112,157.0,0.8033851179174377,5.999999257394695,5.247081485791918
113,158.0,2.1463951002651322,3.288012263617216,6.161600395801597
114,159.0,0.9828265969615757,0.25985646945823465,5.144370786670444
115,160.0,0.9356121307983195,0.6430070490102492,5.760752003885112
116,161.0,3.2393685487970445,0.20318040174429827,7.3541440305239485
117,162.0,0.27577000795916323,5.999998683935917,4.9804761851788575
121,166.0,0.9841096795991684,0.7429660526145088,5.536177063600445
122,167.0,5.530191221400927,2.5894363467484456,8.85086222149375
123,168.0,0.3820186738648838,0.44396341030450415,5.39095198317054
126,172.0,0.9996539987193175,1.1871455188434659,5.889692951440543
128,176.0,1.3096699867652786,0.9484376916145018,6.014161036510164
130,178.0,0.27373275348892206,0.29313342112307494,6.655164053097913
131,179.0,0.944692281160611,1.8271437084059619,4.852349136386014
132,180.0,0.4531617968778508,0.27020660357802456,5.218972149017144
133,184.0,1.1486264767294607,0.8502569938884681,6.055652014034688
134,185.0,0.9763580139637095,1.0844864298402659,5.853061124064286
135,186.0,1.2483443082718382,1.001405359627471,5.990473536353774
136,187.0,0.5025115859696226,5.999999669368687,4.356396209192324
138,189.0,2.3337090727920615,2.5300078312251038,8.570599082239676
139,190.0,0.7709157057359943,3.1833420896244324,4.863216434731753
140,191.0,2.028733249970646,2.008153767269882,8.352248464382562
141,192.0,0.21008630901782577,0.36577488136373465,3.6088043923193474
142,193.0,0.7566578722234806,3.0337412139216267,4.569737539844715
143,194.0,0.14952171926932117,0.21432604545483888,4.999472918376006
144,195.0,0.6794907893468353,0.7577401196430044,5.5872105631376465
145,196.0,0.20830512202079124,0.1870502157848109,5.686523017463412
146,197.0,0.41626169017194525,0.16006952938517208,5.687957020819219
148,201.0,1.2758750978189757,0.8913431945108782,6.1385335708919095
149,202.0,0.8075756329765118,0.27582068616479927,3.3682798836550147
150,204.0,0.2659946626570705,0.19393154845566785,4.442048679428831
151,205.0,0.47292739551742724,0.32489563395297627,5.708692247518083
152,206.0,3.5567506363840593,3.1608750524010394,9.336010902561076
153,208.0,2.4074911983017135,2.0854615868489317,7.439335473947706
155,213.0,1.015923121382484,0.6857109914140227,6.303575822727568
156,214.0,0.5879324349338818,0.2514524373419002,4.207947242785068
157,215.0,3.2872178659238633,3.0630768363331056,9.999999921785328
158,216.0,0.43839689978770263,0.45303316661048754,5.012743902494211
159,217.0,0.388324364954975,0.12627929513902986,3.174714511398107
160,220.0,1.48790916793069,0.8744573152285678,6.37780269018157
161,223.0,5.5039959285994415,3.1263965215102294,8.499772691152662
162,224.0,0.32498910345276305,0.5722344027341533,6.83279180523589
164,226.0,0.22937528313438907,0.3327648774088186,6.001667543141121
165,227.0,1.3186925078555518,1.0679028704392515,6.26672170245677
166,229.0,0.6197242125809147,5.999999984807373,4.034915264035537
167,230.0,0.17276064827317128,0.1943872559014338,6.871442135870537
168,231.0,0.963955352239548,5.999991873656006,5.132979117105304
169,232.0,0.8151412646714897,0.3600581185855602,5.69136479058358
170,233.0,0.6375958435949036,0.26575472377352,5.402992929409783
171,234.0,0.1177767575873076,0.1406696914439538,2.394180971077333
172,236.0,1.0762435807367805,1.761819661581209,4.045431892330663
173,237.0,3.0381460303099646,0.22275243556501814,5.80697911144903
174,238.0,0.9738215614647148,1.5955097617012421,5.888432728389147
175,239.0,0.1206106714480392,0.11077870089995787,5.5835330333348105
176,240.0,1.300380609580611,0.8883970732412951,6.164892000354039
178,243.0,0.9738215614647148,1.5955097617012421,5.888432728389147
179,244.0,0.9257285461908771,0.9000929387244622,5.418265910469428
183,248.0,1.508112751851436,0.752678332281831,7.02707234236735
184,249.0,0.12884945356052524,0.12639140009393643,6.410609730552992
185,251.0,0.8544612122431133,1.3741638815147432,3.887596158835057
186,252.0,0.8566712893662812,5.999997848234807,3.285697139244078
187,253.0,0.19605659741975193,0.20131282345124243,5.531717260371405
188,255.0,0.856158328916618,1.3566464000184524,6.1915444486287825
189,256.0,1.1897930699351937,4.061118811235208,5.841901341286161
190,259.0,0.4970793825763232,1.5744645372856345,5.638348122747951
191,260.0,4.212023717486966,2.5002184637470553,8.675171930460987
192,261.0,0.8269111820865275,0.8264461508581259,6.2168360335741015
194,263.0,0.676068203566385,0.4243613626723385,5.331253182693968
195,264.0,0.5182246393850779,0.6869371070506837,5.8884975087094364
196,265.0,0.6395914792085318,0.2533796016140404,4.603854771312634
197,268.0,2.0714535057583885,1.8725779589589058,8.113538641432298
198,269.0,5.999998845327478,2.8628239971876477,9.855808874380454
199,270.0,0.2968251280428296,0.2521282762814732,6.601134399337756
200,272.0,0.4020957338869821,0.2852177512147783,4.733635627099006
201,273.0,3.4915849241358363,1.0931751129239287,7.852530644021354
202,274.0,4.261121033911527,2.013904403870925,9.077531851370637
203,276.0,0.9684691320788762,0.8796314388504373,6.480030874468877
204,277.0,1.2242232014455288,2.3643886235243716,6.007799688295779
