,ID,sigma_0_short,sigma_0_long,Q_0,eta_short,eta_long
0,1.0,1.086025505856892,3.8000231386458543,4.075777943834438,0.9954021976427293,4.999999569720366
1,3.0,1.0153723016733625,0.8598974577251473,3.9999985313342696,0.6672934977011461,1.3928324152264813
2,4.0,0.24976640347554158,0.2289750518367211,4.3126537521314825,0.08328074126088483,2.273716785236178e-07
3,6.0,0.1702767471691001,0.09520354139963984,5.558527456074368,0.06694278266588573,0.05056105677485371
4,8.0,0.18823510905983415,0.34779532953261616,5.288299591997593,0.18193986393435765,0.1538239992961849
5,9.0,0.3100484761608693,0.1257817330732199,4.166073915987984,0.4868752785392709,0.26662410063291647
6,10.0,0.2561718055585152,0.6386372581008463,3.7232035750449897,0.1572999786471463,0.5377723383740672
7,11.0,2.016919054709674,0.4781339514060793,4.7184202294194835,0.41732213061154655,0.24840861787616758
8,12.0,0.2471425200814517,0.20043973895921535,4.357152036410188,0.25554533506653937,0.310606019510904
9,13.0,0.19809019454684498,0.1059306034726365,4.739570828254419,0.2702677862807408,0.26301852255067343
10,14.0,0.18177950049125147,0.14601624179268377,4.994515087261117,0.07917648638896463,0.1184244170188132
11,15.0,0.5682166140496471,4.444771668492246,5.0002742665791935,1.011786059003843,4.999999868654846
12,16.0,0.21563665613749922,0.11873101229638179,4.931100667076758,0.1907297807546846,0.12579030654734136
13,17.0,0.20134479708616743,0.29403423671705886,5.324360660280276,0.10170814445773753,0.16532814014413863
15,21.0,1.150840308111387,0.8031157790285034,4.638900648432548,0.5914068626883023,1.3376627383313826
16,23.0,1.1143487422419631,0.9309403202054601,5.756366785055463,0.8949637523678163,1.192443233995564
17,31.0,0.8586299091702709,0.8794922839369699,3.2257988044575323,0.7601737946363772,1.5206633745876637
18,35.0,0.5315224264095421,0.6608880607661017,2.800191099573768,0.10781624399806607,0.39736595074927406
19,38.0,1.1128084441694006,1.3245383620739142,3.4154757690166364,0.889286301935716,2.1326609941199495
20,39.0,0.7305882267447131,0.7410195890828367,3.5701877294518143,0.2786670813256589,0.5965312198918105
21,40.0,0.5564858786466923,0.5012134404992404,4.789764550122652,0.20923309525986344,0.5538062528054887
22,41.0,1.046407680091973,0.78056033729181,4.704666761785268,1.2265339799958428,1.2302599111742503
24,44.0,1.367605053847845,1.5362300791040604,3.9697577826711288,2.6675454144101387,3.6622754671213236
25,46.0,0.7588196275282593,0.23621593935888222,6.046443240141365,0.21958021795920685,0.21041007600261183
26,49.0,0.19095609826264587,0.32309764329388974,3.5633654152808902,1.1331181287195205e-09,3.713757471387614e-09
27,50.0,0.15865206720680616,0.13007773544309917,4.400089091731668,0.2478156582790489,0.21133356238287707
28,53.0,0.4720208698137467,0.9376153640164427,5.329239197357259,0.4033443734289994,1.2726060857401753
31,63.0,1.1715181006963136,1.1449727952156004,6.326651584965384,9.834504630695253e-08,1.2087113274941697
32,64.0,0.3123029008185901,0.2909209304141421,3.802199815788339,0.13643386645282157,1.458866229914637e-09
33,65.0,0.7548685060845381,0.1429804231813471,5.408290418199506,0.900560761447272,0.25436181654001616
34,66.0,0.3355883062871303,0.2145924365777121,4.635142255593336,0.722363889403742,0.3607950384530646
