,ID,Q_0,gamma_short,gamma_long,beta_long,beta_short
139,190.0,4.609525332000842,9.494025073030901e-08,1.7627667400653293,1.0,1.0
140,191.0,7.871049623435438,1.4774806071806076e-07,1.1118452135428452,1.0,1.0
141,192.0,3.4872507786469273,2.590239637167603e-08,1.3474840275156618e-08,1.0,1.0
142,193.0,3.981185833559062,1.5153261416160195e-08,1.906626515525667,1.0,1.0
143,194.0,5.07306988881026,0.11926605472314547,1.8589244234989403e-07,1.0,1.0
144,195.0,5.867693001194775,2.4071072223370146e-08,4.181018679098632e-08,1.0,1.0
145,196.0,5.955094580641135,0.05074923013478861,1.671350284518713e-07,1.0,1.0
146,197.0,5.645445875358245,1.7414343709367557e-08,1.2176963127930143,1.0,1.0
148,201.0,6.349360640198265,1.1777191326792469e-07,0.2829476738080067,1.0,1.0
149,202.0,2.9538828706402818,1.477251694286306e-08,1.8559920594157236e-08,1.0,1.0
150,204.0,3.7278857585636573,0.28905531790693334,4.070805951501004e-07,1.0,1.0
151,205.0,6.074992427953545,0.013392615163807946,2.3301907558657816e-07,1.0,1.0
152,206.0,8.61644672212935,0.0363779335423982,5.045718970423939e-07,1.0,1.0
153,208.0,6.5834808473524244,1.7239731929426454e-08,1.770963903249595,1.0,1.0
155,213.0,6.483773975289012,1.0874513227389496e-06,0.28335253243154535,1.0,1.0
156,214.0,4.071460077808434,1.4543437139408549e-08,0.37594167864046857,1.0,1.0
157,215.0,9.295554505916389,2.054516579679878e-08,0.47543277741247647,1.0,1.0
158,216.0,4.9916846961018,1.496985355372508e-08,0.41665269033736896,1.0,1.0
159,217.0,3.4260514948450282,1.1934915119401116e-08,1.4853288972938257,1.0,1.0
160,220.0,6.538334907361202,1.6061164929613018e-08,0.6076477400765632,1.0,1.0
161,223.0,7.008484414786908,1.7660845717385026e-07,1.0374029833396934,1.0,1.0
162,224.0,7.406557114135162,1.3644575671862423e-07,0.007885845296866166,1.0,1.0
